AMR
"(d / dismiss-01
            :ARG1 (t / thing
                  :ARG2-of (p / price-01
                        :ARG1 (a / and
                              :op1 (s / sanitizer
                                    :mod (h / hand))
                              :op2 (w / wipe
                                    :mod h)
                              :op3 (s2 / soap)))))
      :time (c3 / continue-01
            :ARG0 c
            :ARG1 (c4 / combat-01
                  :ARG0 c
                  :ARG1 (s3 / spread-02
                        :ARG1 (c5 / coronavirus
                              :name (n3 / name
                                    :op1 ""COVID-19"")
                              :mod (n4 / novel))))))"
"(m / mix-01
      :ARG1 (p / price-01
            :ARG1 (c / chemical))
      :ARG2 (s / stock
            :location (c2 / continent
                  :name (n / name
                        :op1 ""Europe"")))
      :time (s2 / start-01
            :ARG1 (w / wear-off-02
                  :ARG1 (e / effect-03
                        :ARG0 (s3 / stimulus
                              :mod (c3 / country
                                    :name (n2 / name
                                          :op1 ""US"")))))))"
"(c / contrast-01
      :ARG1 (s / scare-01
            :polarity -
            :ARG0 (p / product
                  :name (n / name
                        :op1 ""COVID-19""))
            :ARG1 (ii / i)
            :mod (e / even))
      :ARG2 (s2 / scare-01
            :ARG0 (l / leave-17
                  :polarity -
                  :ARG1 (m / manteca
                        :ARG1-of (h / have-quant-91
                              :ARG3 (e2 / enough)))
                  :location (s3 / store
                        :mod (g / grocery)))
            :ARG1 ii
            :mod (j / just)))"
"(d / decrease-01
      :ARG1 (p / price-01)
      :ARG4 (r / rate-entity-91
            :ARG1 (m / monetary-quantity
                  :quant 20
                  :unit (d2 / dollar))
            :ARG2 (v / volume-quantity
                  :quant 1
                  :unit (b / barrel)))
      :condition (s / stop-01
            :ARG0 (c / company)
            :ARG1 (p2 / pay-01
                  :ARG0 c
                  :ARG3 (o / oil))))"
"(s / say-01
      :ARG0 (ii / i)
      :ARG1 (a / and
            :op1 (c / come-on-25
                  :mode imperative
                  :ARG1 (e / everyone))
            :op2 (d / do-02
                  :mode imperative
                  :ARG0 e
                  :ARG1 (ii2 / it)
                  :beneficiary (a2 / and
                        :op1 (p / person
                              :name (n / name
                                    :op1 ""Dawn""))
                        :op2 (o / other
                              :quant (m / many)))))
      :ARG2 e)"
"(a / and
      :op1 (c / conserve-01
            :ARG0 (ii / i)
            :ARG1 (w / water)
            :manner (s / skip-01
                  :ARG0 ii
                  :ARG1 (s2 / shower-01)))
      :op2 (s3 / start-01
            :ARG0 ii
            :ARG1 (m / make-01
                  :ARG0 ii
                  :ARG1 (a2 / alcohol
                        :poss ii)
                  :purpose (b / barter-01
                        :ARG0 ii
                        :ARG1 a2))
            :time (o / once
                  :op1 (g / go-08
                        :ARG1 (w2 / world)
                        :ARG2 (p / person
                              :name (n / name
                                    :op1 ""Mad""
                                    :op2 ""Max"")
                              :mod (a3 / all)))))
      :op3 (g2 / go-through-20
            :ARG0 ii
            :ARG1 (p2 / pile
                  :ARG1-of (ii2 / include-91
                        :ARG2 (f / food
                              :ARG1-of (s4 / stable-03
                                    :location (s5 / shelf)))
                        :ARG3 ""1/2"")
                  :ARG1-of (h / hoard-01
                        :ARG0 ii
                        :ARG1-of (t / try-01
                              :ARG0 ii))
                  :mod (s6 / stock))))"
"(h / hold-04
      :ARG0 (c / church
            :mod (l / large)
            :location (n / near
                  :op1 (ii / i)))
      :ARG1 (s / service)
      :time (w / weekend
            :mod (t / this))
      :manner (d / defy-01
            :ARG0 c
            :ARG1 (o / order-01
                  :ARG0 (p / person
                        :ARG0-of (h2 / have-org-role-91
                              :ARG2 (g / governor)))
                  :ARG2 (d2 / distance-01
                        :ARG2 (s2 / society)))))"
"(s / say-01
      :ARG0 (c / company
            :name (n / name
                  :op1 ""Saputo""
                  :op2 ""Inc.""))
      :ARG1 (s2 / see-01
            :ARG0 c
            :ARG1 (s3 / shift-01
                  :ARG1 (d / demand-01
                        :ARG1 (p / product
                              :poss c))
                  :ARG1-of (c2 / cause-01
                        :ARG0 (o / outbreak-29
