AMR
"(m / multi-sentence
                  :manner (r2 / resemble-01
                        :ARG2 (l / lark
                              :mod (g / great)
                              :domain (ii / it)))
                  :mod (j / just))
            :op2 (d / distance-01
                  :polarity -
                  :ARG2 (s3 / society))
            :op3 (l2 / look-01
                  :ARG0 (p / person)
                  :ARG1 (w / weird)
                  :time (d2 / do-02
                        :ARG0 (y2 / you))))
      :snt4 (e / effort-01
            :ARG1-of (g2 / good-02)
            :quant (o2 / one)
            :ARG1-of (h2 / have-concession-91))
      :snt5 p
      :name (n2 / name
            :op1 ""Covid_19""))"
"(m / multi-sentence
      :snt1 (c / change-01
            :ARG1 (a / aspect
                  :mod (p / physical)
                  :poss (c2 / consumerism))
            :ARG2 (e / experience-01
                  :ARG0 (p2 / person
                        :ARG0-of (r / retail-01
                              :ARG1 (f / fashion)))
                  :medium (o / online))
            :ARG1-of (c3 / cause-01
                  :ARG0 (l / lock-down-06
                        :ARG1 (w / world))))
      :snt2 (l2 / look-01
            :mode imperative
            :ARG0 (y / you)
            :ARG1 (p3 / post-01
                  :ARG0 (w2 / we)
                  :mod (l3 / last))
            :purpose (d / discover-01
                  :ARG0 y
                  :ARG1 (a2 / and
                        :op1 (f2 / fact)
                        :op2 (o2 / opportunity)
                        :beneficiary (ii / industry)))
            :polarity (a3 / amr-unknown)
            :ARG1-of (r2 / request-confirmation-91)))"
"(s / say-01
      :ARG0 (ii / i)
      :ARG1 (t / thing
            :mod (l / last)
            :poss ii
            :topic (s2 / struggle-02
                  :ARG0 (e / economy
                        :poss (o / organization
                              :name (n / name
                                    :op1 ""GCC"")))
                  :time (a / after
                        :op1 (p / price-01
                              :ARG1 (o2 / oil)))))
      :ARG2 (p2 / publication
            :name (n2 / name
                  :op1 ""ispionline""))
      :medium (u / url-entity
            :value ""https://t.co/Zpj1hDnGun""))"
"(t / thing
      :quant 7
      :ARG1-of (t2 / touch-01
            :ARG0 (y / you)
            :location (s / store
                  :mod (g / grocery)))
      :ARG0-of (t3 / transmit-01
            :ARG1 (a / and
                  :op1 (v / virus
                        :name (n / name
                              :op1 ""Coronavirus""))
                  :op2 t
                  :name (n2 / name
                        :op1 ""COVID19"")))
      :ARG1-of (p / possible-01)
      :polarity (a2 / amr-unknown)
      :ARG1-of (s2 / say-01
            :ARG2 (p2 / person
                  :name (n3 / name
                        :op1 ""EatThisNotThat"")))
      :ARG1-of (h / hyperlink-91
            :ARG3 (u / url-entity
                  :value ""https://t.co/xE00OuT25s"")))"
"(w / wonder-01
      :ARG0 (ii / i)
      :ARG1 (g / go-02
            :ARG0 ii
            :ARG4 (s / store
                  :mod (g2 / grocery))
            :time (a / after
                  :op1 (a2 / announce-01
                        :ARG0 (p / person
                              :ARG0-of (h / have-org-role-91
                                    :ARG1 (s2 / state
                                          :name (n / name
                                                :op1 ""CA""))
                                    :ARG2 (g3 / governor)))
                        :time (d / date-entity
                              :dayperiod (n2 / night)
                              :mod (y / yesterday)))))
      :ARG1-of (r / resemble-01
            :ARG2 (s3 / string-entity
                  :value ""https://t.co/KkQ31LSsyg"")))"
"(m / multi-sentence
      :snt1 (t / thread
            :name (n / name
                  :op1 ""COVID-19""
                  :op2 ""Retail""
                  :op3 ""Worker""
                  :op4 ""Experience""))
      :snt2 (c / cause-01
            :ARG0 (w / work-01
                  :ARG0 (ii / i)
                  :ARG2 (s / store
                        :ARG1-of (e / essential-02)))
            :ARG1 (a / and
                  :op1 (w2 / work-01
                        :ARG0 ii
                        :ARG2 s
                        :mod (s2 / still)
                        :duration (w3 / week
                              :mod (t2 / temporal-quantity
                                    :quant 40
                                    :unit (h / hour))))
                  :op2 (g / glad-02
                        :ARG0 (p / paycheck)
                        :ARG1 ii)))
      :snt3 (c2 / contrast-01
            :ARG2 (c3 / come-04
                  :ARG1 (ii2 / i)
                  :ARG2 (c4 / contact-01
                        :ARG0 ii2
                        :ARG1 (p2 / person
                              :quant (l / lot)))
                  :ARG0-of (c5 / cause-01
                        :ARG1 (a2 / affect-01
                              :polarity -
                              :ARG0 (ii3 / it)
                              :ARG1 ii2
                              :degree (m2 / much)
                              :time (o / once
                                    :op1 (g2 / get-05
                                          :ARG1 ii2
                                          :ARG2 (h2 / home))))))))"
"(m / multi-sentence
      :snt1 (s / say-01
            :ARG0 (ii / i)
            :ARG1 (s2 / suggest-01
                  :ARG0 ii
                  :ARG1 (t / triple-01
                        :polarity -
